| Age   | 5th   | 10th  | 15th  | 25th  | 50th   | 75th   | 85th   | 90th   | 95th   |
| ----- | ----- | ----- | ----- | ----- | ------ | ------ | ------ | ------ | ------ |
| 8–11  | 31.08 | 33.58 | 35.15 | 38.24 | 45.07  | 53.13  | 59.58  | 62.67  | 68.42  |
| 12–15 | 41.74 | 45.86 | 49.97 | 56.34 | 70.3   | 84.39  | 92.9   | 98.23  | 107.8  |
| 16–19 | 68.42 | 74.6  | 78.14 | 84.52 | 96.49  | 110.86 | 118.6  | 124.35 | 134.31 |
| 20–29 | 71.29 | 77.66 | 81.28 | 86.44 | 100.18 | 113.05 | 121.77 | 129.32 | 140.63 |
| 30–39 | 67.84 | 74.57 | 78.47 | 84.28 | 96.19  | 110.67 | 118.53 | 125.41 | 136.36 |
| 40–49 | 65.98 | 72.4  | 77.25 | 82.68 | 94.25  | 108.39 | 115.91 | 121    | 129.43 |
| 50–59 | 64.56 | 69.12 | 71.89 | 78.59 | 90.39  | 104.58 | 112.38 | 117.78 | 126.4  |
| 60–69 | 60.91 | 66.87 | 70.94 | 76.44 | 89.11  | 102.42 | 109.52 | 115.54 | 123.53 |
| 70–79 | 54.97 | 59.71 | 63.82 | 70.07 | 81.08  | 96.43  | 103.75 | 108.94 | 117.13 |
| 80+   | 50.9  | 54.17 | 57.7  | 63.38 | 75.45  | 87.76  | 96.18  | 101.33 | 108.62 |
