Age,Mean
"7-74 years",120.7
"7-11 years",102.2
"12-17 years",111.7
"18-24 years",113.3
"25-34 years",115.2
"35-44 years",121.4
"45-54 years",128.2
"55-64 years",141.6
"65-74 years",149.8
"Age-adjusted value",121.3
