Age,Mean
"8–11 years",7.2
"12–15 years",10.5
"16–19 years",11.7
"20–39 years",12.8
"40–59 years",13
"60–79 years",12.2
"80 years and older",10.6
"20 years and older (crude)",12.6
"20 years and older (age adjusted)",12.6
