Age,Mean
"8–11 years",6.8
"12–15 years",11.1
"16–19 years",13.4
"20–39 years",14.1
"40–59 years",14.1
"60–79 years",13.2
"80 years and older",11.6
"20 years and older (crude)",13.9
"20 years and older (age adjusted)",13.8
