| Age   | 5th  | 10th | 15th | 25th | 50th  | 75th  | 85th  | 90th  | 95th  |
| ----- | ---- | ---- | ---- | ---- | ----- | ----- | ----- | ----- | ----- |
| 2     | 43.5 | 44.4 | 45   | 46   | 47.7  | 49.5  | 50.8  | 51.8  | 53.1  |
| 3     | 45.1 | 46   | 46.6 | 47.5 | 49.3  | 51.2  | 52.5  | 53.2  | 55.5  |
| 4     | 46.4 | 47.2 | 47.8 | 48.9 | 51.4  | 52.9  | 54.4  | 55.3  | 57.2  |
| 5     | 47.6 | 48.4 | 48.8 | 50.1 | 52.5  | 54.9  | 56    | 57.3  | 61.2  |
| 6     | \*   | 49.6 | 50.5 | 51.5 | 54.1  | 57.8  | 59.7  | 66.5  | \*    |
| 7     | \*   | 51.4 | 52.1 | 53   | 55.7  | 59.4  | 62.7  | 64.2  | \*    |
| 8     | \*   | 52.7 | 53.6 | 54.6 | 58    | 63.7  | 67.2  | 72    | \*    |
| 9     | \*   | 54.1 | 55   | 56.7 | 59.6  | 68.8  | 75    | 78.1  | \*    |
| 10    | \*   | 55.1 | 56.1 | 57.9 | 62.9  | 69.5  | 76.7  | 77.5  | \*    |
| 11    | \*   | 58.2 | 59   | 61   | 65.1  | 74.1  | 81.1  | 84.4  | \*    |
| 12    | \*   | \*   | 61.1 | 64.5 | 69.1  | 80.2  | 84.5  | \*    | \*    |
| 13    | \*   | \*   | 61.7 | 65   | 69.6  | 80.4  | 85.5  | \*    | \*    |
| 14    | \*   | \*   | 66.6 | 67.5 | 73.1  | 79.5  | 85.5  | \*    | \*    |
| 15    | \*   | \*   | 66.8 | 69.6 | 75.4  | 85.4  | 92.1  | \*    | \*    |
| 16    | \*   | \*   | 70.1 | 71.4 | 75    | 82    | 85.8  | \*    | \*    |
| 17    | \*   | \*   | 70.9 | 73   | 77.6  | 84.5  | 94.7  | \*    | \*    |
| 18    | \*   | \*   | 71   | 71.9 | 77    | 84.9  | 91    | \*    | \*    |
| 19    | \*   | \*   | 73.1 | 75.1 | 79.2  | 86.2  | 94.6  | \*    | \*    |
| 20+   | 75.9 | 79.1 | 81.6 | 86.1 | 94.3  | 102.9 | 108.1 | 111.7 | 118.6 |
| 20–29 | 72.3 | 74.5 | 76.2 | 79.1 | 85.6  | 94    | 99.6  | 103.4 | 111.5 |
| 30–39 | 76.4 | 79.3 | 81.7 | 85.7 | 92.5  | 100   | 103.5 | 108.1 | 115.1 |
| 40–49 | 79.1 | 83.1 | 85.2 | 89.5 | 96.5  | 104.2 | 109.6 | 112.7 | 121.1 |
| 50–59 | 83.4 | 86   | 88.6 | 92.3 | 99.4  | 107.2 | 111.9 | 116.7 | 121.5 |
| 60–69 | 82.8 | 87.2 | 90.3 | 94.3 | 101.9 | 109   | 112.2 | 116.1 | 120.7 |
| 70–79 | 80.8 | 86   | 89.1 | 93   | 100.3 | 107.2 | 110.8 | 114   | 120.2 |
| 80+   | 79.2 | 84.2 | 86.4 | 91.5 | 97.5  | 103.6 | 108.5 | 111.1 | 115   |
