| Age               | Median |
| ----------------- | ------ |
| All ages          | 775    |
| 2–11 months       | 411    |
| 1–2 years         | 434    |
| 3–5 years         | 458    |
| 6–11 years        | 504    |
| 12–15 years       | 533    |
| 16–19 years       | 657    |
| 20–29 years       | 791    |
| 30–39 years       | 961    |
| 40–49 years       | 848    |
| 50–59 years       | 1016   |
| 60–69 years       | 1157   |
| 70–79 years       | 1127   |
| 80 years and over | 1023   |
