| Age               | Median |
| ----------------- | ------ |
| All ages          | 836    |
| 2–11 months       | 424    |
| 1–2 years         | 445    |
| 3–5 years         | 474    |
| 6–11 years        | 529    |
| 12–15 years       | 590    |
| 16–19 years       | 761    |
| 20–29 years       | 902    |
| 30–39 years       | 1091   |
| 40–49 years       | 917    |
| 50–59 years       | 1044   |
| 60–69 years       | 1127   |
| 70–79 years       | 987    |
| 80 years and over | 900    |
