| Age                | Mean |
| ------------------ | ---- |
| 7-74 years         | 76.8 |
| 7-11 years         | 64.6 |
| 12-17 years        | 70.3 |
| 18-24 years        | 71.9 |
| 25-34 years        | 75.5 |
| 35-44 years        | 82.3 |
| 45-54 years        | 83.1 |
| 55-64 years        | 88.3 |
| 65-74 years        | 85.4 |
| Age-adjusted value | 77.2 |
