| Age                | Widowed  |
| ------------------ | -------- |
| 15 years and over  | 12160712 |
| 15–24 years        | 18735    |
| 25–34 years        | 92840    |
| 35–44 years        | 314988   |
| 45–54 years        | 738363   |
| 55–64 years        | 1456074  |
| 65–74 years        | 3090914  |
| 75 years and older | 6448798  |
