| Age               | Median |
| ----------------- | ------ |
| All ages          | 1.9    |
| 2–11 months       | 0.7    |
| 1–2 years         | 1.2    |
| 3–5 years         | 1.4    |
| 6–11 years        | 1.6    |
| 12–15 years       | 1.8    |
| 16–19 years       | 2.2    |
| 20–29 years       | 2.1    |
| 30–39 years       | 2.1    |
| 40–49 years       | 2      |
| 50–59 years       | 2      |
| 60–69 years       | 1.9    |
| 70–79 years       | 1.7    |
| 80 years and over | 1.8    |
