| Age               | Median |
| ----------------- | ------ |
| All ages          | 1.6    |
| 2–11 months       | 0.7    |
| 1–2 years         | 1.2    |
| 3–5 years         | 1.4    |
| 6–11 years        | 1.5    |
| 12–15 years       | 1.6    |
| 16–19 years       | 1.6    |
| 20–29 years       | 1.7    |
| 30–39 years       | 1.7    |
| 40–49 years       | 1.7    |
| 50–59 years       | 1.6    |
| 60–69 years       | 1.6    |
| 70–79 years       | 1.6    |
| 80 years and over | 1.6    |
