Age,Rate
"15 years and over",1103.5
"15–24 years",117.5
"25–34 years",149.9
"35–44 years",256.9
"45–54 years",552.5
"55–64 years",1253.5
"65–74 years",3015.7
"75 years and older",8870.2
"Age-adjusted rate",1516.1
