Age,All
"15 years and over",1090.8
"15–24 years",81.6
"25–34 years",108.1
"35–44 years",200
"45–54 years",431.6
"55–64 years",1004.6
"65–74 years",2428.6
"75 years and older",8179.9
"Age-adjusted rate",1309.9
