Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"2 years",*,13.7,13.9,14.3,15,15.7,16.2,16.5,*
"3 years",14.2,14.6,14.8,15.2,16,16.7,17.1,17.3,17.9
"4 years",*,15.3,15.8,16.1,16.9,17.8,18.2,18.7,*
"5 years",*,16,16.4,16.7,17.5,18.4,19,19.5,*
"6 years",*,*,16.8,17.4,18,19.3,20,*,*
"7 years",*,*,17.1,18,19.3,20.7,22.2,*,*
"8 years",*,*,18.4,19,20.2,21.2,22.2,*,*
"9 years",*,*,19.3,20.3,21,22.2,23.7,*,*
"10 years",*,*,20.2,21,21.9,23.8,24.7,*,*
"11 years",*,*,20.9,22.2,23.4,25.2,25.8,*,*
"12 years",*,*,22.2,22.6,24,26.2,26.9,*,*
"13 years",*,*,23.3,24.2,26.3,27.3,28.8,*,*
"14 years",*,*,24.5,25,26.4,28,28.9,*,*
"15 years",*,*,24,24.7,26.6,28.4,29.1,*,*
"16 years",*,*,24.6,25.3,27.3,28.5,29.3,*,*
"17 years",*,*,24.6,25.4,27.3,29,29.1,*,*
"18 years",*,*,*,25,26.9,27.9,*,*,*
"19 years",*,*,25.1,25.9,27.5,29.1,29.9,*,*
"20 years and older",23.9,25.1,25.8,26.9,28.9,31.1,32.4,33.3,34.9
"20–29 years",22.8,23.9,24.7,25.7,27.5,29.3,30.4,31.6,33.4
"30–39 years",23.4,24.8,25.5,26.6,28.5,30.7,32,33.2,35.3
"40–49 years",24.9,25.8,26.4,27.4,29,31,32.4,33.3,35.1
"50–59 years",24.7,26,26.8,27.9,29.8,32.3,33.9,34.7,35.6
"60–69 years",25,26.3,27.1,28.2,30,32.1,33.1,33.9,35.7
"70–79 years",24.9,26.4,26.9,28.2,30.1,31.7,32.7,33.7,34.8
"80 years and older",25,26.4,27,28.1,30.1,31.8,32.6,33.2,34
