Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",15182,94,1.1,85,5767,92,1.6,81,8001,95,1.5,86
"Under 6 years",3461,63,0.9,59,1581,66,1.9,60,1580,62,1.1,59
"6–11 years",1553,90,1.6,82,733,88,2.2,80,693,90,2.3,83
"12–19 years",1659,93,2.4,87,711,103,5.4,92,796,89,1.9,85
"20–59 years",5921,102,1.8,92,1939,99,3,86,3484,103,2.2,94
"60 years and over",2588,87,1.6,78,803,81,3,72,1448,88,1.8,79
