Age,Mean
"2 years",15.3
"3 years",16.2
"4 years",16.8
"5 years",17.7
"6 years",18.4
"7 years",19.6
"8 years",20
"9 years",21.3
"10 years",21.7
"11 years",22.8
"12 years",24.3
"13 years",25.3
"14 years",26.6
"15 years",27
"16 years",27.4
"17 years",27.7
"18 years",27.6
"19 years",27.9
"20 years and older",29.6
"20–29 years",28.5
"30–39 years",29.1
"40–49 years",29.9
"50–59 years",30.5
"60–69 years",30.8
"70–79 years",30.7
"80 years and older",30.6
