| Age                | Sample size |
| ------------------ | ----------- |
| 8–11               | 1465        |
| 12–15              | 2318        |
| 16–19              | 2027        |
| 20–29              | 1378        |
| 30–39              | 1372        |
| 40–49              | 1570        |
| 50–59              | 1200        |
| 60–69              | 1419        |
| 70–79              | 750         |
| 80+                | 594         |
| 20+ (age-adjusted) | 8283        |
