Age,"Standard deviation"
"7-74 years",14.9
"7-11 years",10
"12-17 years",10.8
"18-24 years",10.5
"25-34 years",11.1
"35-44 years",13
"45-54 years",14.2
"55-64 years",14.6
"65-74 years",13.8
