Age,"Standard deviation"
"7-74 years",15
"7-11 years",9
"12-17 years",10.8
"18-24 years",10
"25-34 years",12.9
"35-44 years",13.7
"45-54 years",14.7
"55-64 years",13.3
"65-74 years",13.1
