Age,"Standard deviation"
"7-74 years",14.9
"7-11 years",9.6
"12-17 years",10.9
"18-24 years",10.6
"25-34 years",12.4
"35-44 years",13.4
"45-54 years",14.7
"55-64 years",13.8
"65-74 years",13.4
