"Age group",Mean
"Under 1 year",128
"1 year",116
"2–3 years",106
"4–5 years",94
"6–8 years",86
"9–11 years",80
"12–15 years",77
"16–19 years",72
"20–39 years",71
"40–59 years",71
"60–79 years",70
"80 years and over",71
