Age,Mean
"Under 1 year",130
"1 year",119
"2–3 years",108
"4–5 years",97
"6–8 years",88
"9–11 years",85
"12–15 years",80
"16–19 years",79
"20–39 years",76
"40–59 years",73
"60–79 years",73
"80 years and over",73
