| Age         | Standard error |
| ----------- | -------------- |
| 7-74 years  | 0.72           |
| 7-11 years  | 1.46           |
| 12-17 years | 0.84           |
| 18-24 years | 1              |
| 25-34 years | 0.8            |
| 35-44 years | 1.21           |
| 45-54 years | 1.76           |
| 55-64 years | 1.91           |
| 65-74 years | 1.62           |
