Age,"Standard error of the mean"
"7-74 years",0.7
"7-11 years",1.07
"12-17 years",0.97
"18-24 years",0.87
"25-34 years",0.78
"35-44 years",0.97
"45-54 years",1.69
"55-64 years",1.46
"65-74 years",1.22
