Age,"Standard error"
"8–11 years",23.69
"12–15 years",42.46
"16–19 years",32.13
"20–29 years",29.05
"30–39 years",28.51
"40–49 years",26.92
"50–59 years",27.28
"60–69 years",28.69
"70–79 years",28.97
"80 years and over",29.14
