Age,"Standard deviation"
"7-17 years (education : head of the household)",13.4
"7-11 years (education : head of the household)",11.2
"12-17 years (education : head of the household)",13.4
"18-74 years",25
"18-24 years",12.9
"25-34 years",13
"35-44 years",17.9
"45-54 years",25.4
"55-64 years",24.3
"65-74 years",25.3
