| Age   | Standard error |
| ----- | -------------- |
| 8–11  | 16.1           |
| 12–15 | 21.99          |
| 16–19 | 20.01          |
| 20–29 | 22.43          |
| 30–39 | 21.91          |
| 40–49 | 21.39          |
| 50–59 | 21.35          |
| 60–69 | 20.89          |
| 70–79 | 21.88          |
| 80+   | 19.21          |
