| Age   | Standard error |
| ----- | -------------- |
| 8–11  | 16.8           |
| 12–15 | 17.63          |
| 16–19 | 17.72          |
| 20–29 | 19.26          |
| 30–39 | 20.06          |
| 40–49 | 19.17          |
| 50–59 | 18.89          |
| 60–69 | 18.62          |
| 70–79 | 18.03          |
| 80+   | 16.95          |
