Age,"Standard error"
"8–11 years",16.1
"12–15 years",21.99
"16–19 years",20.01
"20–29 years",22.43
"30–39 years",21.91
"40–49 years",21.39
"50–59 years",21.35
"60–69 years",20.89
"70–79 years",21.88
"80 years and over",19.21
