Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages2",13923,2,0.02,1.8,4929,1.9,0.03,1.6,7770,2,0.03,1.8
"Under 6 years2",3410,1.3,0.02,1.2,1564,1.4,0.03,1.3,1548,1.3,0.03,1.2
"6–11 years",1581,1.8,0.05,1.6,713,1.8,0.06,1.7,746,1.8,0.06,1.6
"12–19 years",1462,2.3,0.08,1.9,634,2,0.06,1.8,674,2.4,0.1,2.1
"20–59 years",5019,2.1,0.03,1.9,1390,2.2,0.06,1.9,3226,2.1,0.03,1.9
"60 years and over",2451,1.8,0.03,1.7,628,1.5,0.04,1.4,1576,1.9,0.03,1.7
