Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",15182,239,2.8,195,5767,230,4.1,185,8001,242,3.6,198
"Under 6 years",3461,196,3,169,1581,198,5.2,173,1580,197,4.4,166
"6–11 years",1553,238,7.5,206,733,265,18.3,230,693,225,8.4,192
"12–19 years",1659,227,9.1,186,711,230,13.5,182,796,223,10.8,184
"20–59 years",5921,237,4.3,191,1939,223,5.7,175,3484,241,5.1,194
"60 years and over",2588,272,6.8,228,803,249,14.5,197,1448,282,8,240
