Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",15182,87,2.4,49,5767,83,7,40,8001,88,2.2,52
"Under 6 years",3461,46,1.8,31,1581,52,4,32,1580,43,1.8,30
"6–11 years",1553,60,4.6,36,733,56,5.4,34,693,63,5.5,38
"12–19 years",1659,68,4.1,47,711,73,4.9,51,796,65,5.3,45
"20–59 years",5921,99,3.6,56,1939,103,14.3,43,3484,97,3.1,60
"60 years and over",2588,93,3.5,49,803,80,4.6,40,1448,98,4.4,55
