| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 13.8               |
| 7-11 years  | 9.2                |
| 12-17 years | 9.5                |
| 18-24 years | 10.9               |
| 25-34 years | 9.5                |
| 35-44 years | 13.4               |
| 45-54 years | 13.5               |
| 55-64 years | 11.4               |
| 65-74 years | 13.1               |
