| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 13.8               |
| 7-11 years  | 8.8                |
| 12-17 years | 9.9                |
| 18-24 years | 11                 |
| 25-34 years | 10.5               |
| 35-44 years | 12.7               |
| 45-54 years | 13.8               |
| 55-64 years | 12                 |
| 65-74 years | 13.2               |
