Age,"Standard deviation"
"7-74 years",13.7
"7-11 years",8.3
"12-17 years",10.2
"18-24 years",10
"25-34 years",10.7
"35-44 years",11.4
"45-54 years",13.8
"55-64 years",12.7
"65-74 years",13.2
