| Age               | Median |
| ----------------- | ------ |
| All ages          | 2494   |
| 2–11 months       | 1146   |
| 1–2 years         | 1856   |
| 3–5 years         | 1961   |
| 6–11 years        | 2204   |
| 12–15 years       | 2255   |
| 16–19 years       | 2477   |
| 20–29 years       | 2560   |
| 30–39 years       | 2724   |
| 40–49 years       | 2708   |
| 50–59 years       | 2760   |
| 60–69 years       | 2681   |
| 70–79 years       | 2510   |
| 80 years and over | 2374   |
