| Age               | Median |
| ----------------- | ------ |
| All ages          | 2206   |
| 2–11 months       | 1112   |
| 1–2 years         | 1742   |
| 3–5 years         | 1912   |
| 6–11 years        | 2056   |
| 12–15 years       | 1942   |
| 16–19 years       | 2003   |
| 20–29 years       | 2181   |
| 30–39 years       | 2357   |
| 40–49 years       | 2312   |
| 50–59 years       | 2360   |
| 60–69 years       | 2462   |
| 70–79 years       | 2324   |
| 80 years and over | 2247   |
