| Age               | Median |
| ----------------- | ------ |
| All ages          | 2849   |
| 2–11 months       | 1178   |
| 1–2 years         | 1965   |
| 3–5 years         | 1987   |
| 6–11 years        | 2354   |
| 12–15 years       | 2531   |
| 16–19 years       | 2903   |
| 20–29 years       | 3139   |
| 30–39 years       | 3150   |
| 40–49 years       | 3212   |
| 50–59 years       | 3274   |
| 60–69 years       | 2956   |
| 70–79 years       | 2801   |
| 80 years and over | 2666   |
