| Age   | 5th  | 10th | 15th | 25th | 50th | 75th | 85th | 90th | 95th |
| ----- | ---- | ---- | ---- | ---- | ---- | ---- | ---- | ---- | ---- |
| 8–11  | 21.4 | 22.8 | 24.3 | 26.6 | 32   | 38.5 | 41.6 | 43.4 | 45.5 |
| 12–15 | 21.4 | 23.4 | 25.1 | 27.7 | 32.6 | 38.2 | 41.2 | 43.2 | 46.2 |
| 16–19 | 24.3 | 26.6 | 28   | 30.5 | 34.7 | 40.3 | 44   | 45.9 | 48.9 |
| 20–39 | 26   | 28.9 | 30.4 | 33.2 | 38.8 | 44   | 46.8 | 48.5 | 51   |
| 40–59 | 29   | 32.5 | 34.4 | 37.4 | 42.1 | 46.3 | 48.3 | 49.8 | 51.8 |
| 60–79 | 32.9 | 35.9 | 37.5 | 40   | 44   | 47.5 | 49.4 | 50.3 | 52.1 |
| 80+   | 30.4 | 33.4 | 35.1 | 37.9 | 42.1 | 45.7 | 47.6 | 48.8 | 50.3 |
| 20+   | 28   | 31.1 | 33.2 | 36.3 | 41.6 | 46   | 48.1 | 49.6 | 51.6 |
