Age,Number
"All Ages",9994854
"Under 1 year",221096
"1‐4 years",822636
"5‐9 years",997052
"10‐14 years",911482
"15‐19 years",881181
"20‐24 years",919860
25–34,1750386
35–44,1419179
45–54,965945
55–64,619602
65andOver,486435
65–74,343163
75–84,125826
"85 and over",17446
