Age,Number
"All Ages",19965446
"Under 1 year",437784
"1‐4 years",1633852
"5‐9 years",1982833
"10‐14 years",1817721
"15‐19 years",1803943
"20‐24 years",1912056
25–34,3479429
35–44,2743387
45–54,1892644
55–64,1251637
65andOver,1010160
65–74,704772
75–84,263829
"85 and over",41559
