Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",29105,3.1,0.07,1.8,10696,2.7,0.09,1.5,15771,3.3,0.08,1.9
"Under 6 years",6871,2.3,0.05,1.3,3145,2,0.08,1.1,3128,2.5,0.06,1.5
"6–11 years",3134,3.6,0.2,2,1446,2.9,0.18,1.7,1439,3.9,0.29,2.2
"12–19 years",3121,3.7,0.16,2,1345,3,0.19,1.8,1470,4,0.26,2.1
"20–59 years",10940,3.2,0.09,1.9,3329,3,0.15,1.6,6710,3.3,0.1,2
"60 years and over",5039,2.7,0.06,1.5,1431,2,0.1,1.1,3024,2.8,0.08,1.6
