Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",4.2,4.6,5.1,5.9,8.1,13,17.1,19.7,25.4
"12–15 years",5.9,6.7,7.3,8.3,11.7,18.8,24.3,28.1,34.9
"16–19 years",7.1,8.1,8.7,10,13.8,22.3,27.6,32.4,39.3
"20–39 years",8.8,10.5,12.1,14.5,20.4,27,32.2,36.3,42.4
"40–59 years",12.1,14.5,16.1,18.7,23.5,30.4,34.3,37.3,43.3
"60–79 years",13.4,15.5,17.4,19.9,24.9,31.5,35.3,38.9,43.5
"80 years and older",12.1,14.1,15.5,17.9,21.6,26.9,30.2,32,35.9
"20 years and older",10.4,12.5,14.2,17.2,22.5,29.2,33.7,36.9,42.8
