| Age               | Median |
| ----------------- | ------ |
| All ages          | 3.4    |
| 2–11 months       | 0.1    |
| 1–2 years         | 2.3    |
| 3–5 years         | 3.2    |
| 6–11 years        | 3.9    |
| 12–15 years       | 4      |
| 16–19 years       | 3.9    |
| 20–29 years       | 3.5    |
| 30–39 years       | 3.8    |
| 40–49 years       | 3.6    |
| 50–59 years       | 3.2    |
| 60–69 years       | 2.8    |
| 70–79 years       | 2.9    |
| 80 years and over | 3.1    |
