Age,Median
"All ages",4.8
"2–11 months",0.2
"1–2 years",2.4
"3–5 years",3.2
"6–11 years",4.3
"12–15 years",5.1
"16–19 years",6.7
"20–29 years",5.7
"30–39 years",5.5
"40–49 years",4.8
"50–59 years",5
"60–69 years",4.2
"70–79 years",4
"80 years and over",3.7
