Age,"Sample size",Mean,"Standard error",5th,25th,50th,75th,95th
"18 years and over, age-adjusted",19921,122,0.2,98,110,119,131,157
"18–39 years",7676,115,0.2,96,106,113,121,135
"40–59 years",5826,123,0.3,100,112,121,131,152
"60 years and over",6419,136,0.5,105,120,133,148,177
