Age,"Standard error"
"All ages",0.7
"2–11 months",0.7
"1–2 years",0.8
"3–5 years",1
"6–11 years",1.4
"12–15 years",3.4
"16–19 years",3.8
"20–29 years",2.4
"30–39 years",1.3
"40–49 years",1.2
"50–59 years",2.2
"60–69 years",1.5
"70–79 years",0.9
"80 years and over",1.3
