Age,"Standard error"
"All ages",1.5
"2–11 months",0.7
"1–2 years",1
"3–5 years",1.3
"6–11 years",1.9
"12–15 years",3.7
"16–19 years",3.3
"20–29 years",2.9
"30–39 years",2.7
"40–49 years",3.9
"50–59 years",3.7
"60–69 years",2
"70–79 years",2.4
"80 years and over",2.1
