Age,"Standard error"
"7-17 years (education : head of the household)",1.08
"7-11 years (education : head of the household)",1.55
"12-17 years (education : head of the household)",1.23
"18-74 years",1.16
"18-24 years",2.13
"25-34 years",1.56
"35-44 years",1.82
"45-54 years",3.05
"55-64 years",2.28
"65-74 years",1.31
