Age,All,"Never maried","Ever maried",Married,Widowed,Divorced
"15 years and over",104608794,32693284,71915510,60495479,2749715,8670316
"15–24 years",19635933,17989552,1646381,1514998,6139,125244
"25–34 years",18600123,7625773,10974350,9906923,23043,1044384
"35–44 years",22307451,4101454,18205997,15390563,89246,2726188
"45–54 years",18170813,1702450,16468363,13864551,155389,2448423
"55–64 years",11434029,659506,10774523,9013797,330223,1430503
"65–74 years",8203969,356078,7847891,6516909,696321,634661
"75 years and older",6256476,258471,5998005,4287738,1449354,260913
