| Age                | Mean |
| ------------------ | ---- |
| 8–11               | 28.4 |
| 12–15              | 25.2 |
| 16–19              | 22.7 |
| 20–39              | 26.2 |
| 40–59              | 28.9 |
| 60–79              | 31.2 |
| 80+                | 31.2 |
| 20+                | 28.3 |
| 20+ (age adjusted) | 28.4 |
