Age,Mean
"8–11 years",28.4
"12–15 years",25.2
"16–19 years",22.7
"20–39 years",26.2
"40–59 years",28.9
"60–79 years",31.2
"80 years and older",31.2
"20 years and older (crude)",28.3
"20 years and older (age adjusted)",28.4
