Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",29103,12.5,0.07,12.5,10696,12.4,0.1,12.3,15770,12.6,0.09,12.5
"Under 6 years",6871,11.8,0.12,11.7,3145,12.2,0.18,12.1,3128,11.6,0.12,11.5
"6–11 years",3134,12.6,0.09,12.5,1446,12.6,0.15,12.4,1439,12.5,0.12,12.4
"12–19 years",3119,12.6,0.1,12.6,1345,13,0.15,12.9,1469,12.5,0.14,12.5
"20–59 years",10940,12.7,0.11,12.7,3329,12.3,0.12,12.3,6710,12.8,0.13,12.8
"60 years and over",5039,12.1,0.1,12.1,1431,12,0.19,12,3024,12.2,0.1,12.1
