| Age   | Standard error |
| ----- | -------------- |
| 8–11  | 8.38           |
| 12–15 | 11.76          |
| 16–19 | 11.21          |
| 20–29 | 11.11          |
| 30–39 | 11.74          |
| 40–49 | 12.82          |
| 50–59 | 12.83          |
| 60–69 | 14.08          |
| 70–79 | 13.73          |
| 80+   | 13.51          |
