| Age                | Mean |
| ------------------ | ---- |
| 7-74 years         | 79.6 |
| 7-11 years         | 63.5 |
| 12-17 years        | 67.9 |
| 18-24 years        | 70.6 |
| 25-34 years        | 78.2 |
| 35-44 years        | 82.7 |
| 45-54 years        | 84.3 |
| 55-64 years        | 87.1 |
| 65-74 years        | 87.6 |
| Age-adjusted value | 77.3 |
