"Cause of death",Number
"All causes",360226
"Diseases of heart",110367
"Malignant neoplasms",79192
"Cerebrovascular diseases",33074
"Chronic lower respiratory diseases",23884
"Diabetes mellitus",12446
"Alzheimer’s disease.",11025
"Influenza and pneumonia",10070
"Nephritis, nephrotic syndrome and nephrosis",6245
"Accidents (unintentional injuries)",5695
Septicemia,5456
"All other causes",62772
