Age,Mean
"8–11 years",11.5
"12–15 years",16.1
"16–19 years",18.7
"20–39 years",23.4
"40–59 years",26.5
"60–79 years",27.5
"80 years and older",23.8
"20 years and older,6559
"20 years and older,6559
