Age,Mean
"8–11 years",13.4
"12–15 years",19.7
"16–19 years",23.7
"20–39 years",28.9
"40–59 years",32.5
"60–79 years",32.2
"80 years and older",26.5
"20 years and older",30.8
"20 years and older (age adjusted)",30.7
