Age,All,"Never maried","Ever maried",Married,Widowed,Divorced
"15 years and over",111985314,27453303,84532011,60855147,12160712,11516152
"15–24 years",18731271,15860841,2870430,2647224,18735,204471
"25–34 years",18830842,5706482,13124360,11553672,92840,1477848
"35–44 years",22584929,2908953,19675976,16222700,314988,3138288
"45–54 years",18982306,1605629,17376677,13368509,738363,3269805
"55–64 years",12539648,629685,11909963,8461028,1456074,1992861
"65–74 years",9963561,362450,9601111,5571204,3090914,938993
"75 years and older",10352757,379263,9973494,3030810,6448798,493886
