| Age               | Median |
| ----------------- | ------ |
| All ages          | 27.1   |
| 2–11 months       | 7.1    |
| 1–2 years         | 17.8   |
| 3–5 years         | 22.4   |
| 6–11 years        | 27.1   |
| 12–15 years       | 37.1   |
| 16–19 years       | 46     |
| 20–29 years       | 38.7   |
| 30–39 years       | 29.8   |
| 40–49 years       | 24.2   |
| 50–59 years       | 21.3   |
| 60–69 years       | 19.1   |
| 70–79 years       | 16.7   |
| 80 years and over | 17.5   |
