| Age               | Median |
| ----------------- | ------ |
| All ages          | 22.7   |
| 2–11 months       | 6.8    |
| 1–2 years         | 17.2   |
| 3–5 years         | 21.9   |
| 6–11 years        | 25.5   |
| 12–15 years       | 33.6   |
| 16–19 years       | 36.5   |
| 20–29 years       | 31.8   |
| 30–39 years       | 23.5   |
| 40–49 years       | 20.5   |
| 50–59 years       | 18.1   |
| 60–69 years       | 16.9   |
| 70–79 years       | 15.9   |
| 80 years and over | 15.5   |
