| Age                | Mean |
| ------------------ | ---- |
| 8–11               | 2.1  |
| 12–15              | 3.5  |
| 16–19              | 4.6  |
| 20–39              | 5.3  |
| 40–59              | 5.5  |
| 60–79              | 5.2  |
| 80+                | 4.3  |
| 20+                | 5.3  |
| 20+ (age adjusted) | 5.3  |
