| Age         | Population in thousands |
| ----------- | ----------------------- |
| 12-17 years | 1392                    |
| 18-74 years | 23413                   |
| 18-24 years | 2186                    |
| 25-34 years | 3488                    |
| 35-44 years | 3731                    |
| 45-54 years | 5360                    |
| 55-64 years | 4839                    |
| 65-74 years | 3809                    |
