Age,"Standard error"
"All ages",0.22
"2–11 months",0.31
"1–2 years",0.38
"3–5 years",0.38
"6–11 years",0.33
"12–15 years",0.51
"16–19 years",0.48
"20–29 years",0.41
"30–39 years",0.44
"40–49 years",0.5
"50–59 years",0.5
"60–69 years",0.48
"70–79 years",0.43
"80 years and over",0.41
